,0,1,2
151507_5000_100_15_10_300,0.20284310800363572,0.20284310800363572,
151507_5000_100_15_10_500,0.2573979349519155,0.2573979349519155,
151507_5000_100_15_30_100,0.3322913103386103,0.3322913103386103,
151507_5000_100_15_30_300,0.29249456011708386,0.29249456011708386,
151507_5000_100_15_30_500,0.3234173741068056,0.3234173741068056,
151507_5000_100_15_50_100,0.3911017106671847,0.3911017106671847,
151507_5000_100_15_50_300,0.31357911150773365,0.31357911150773365,
151507_5000_100_15_50_500,0.330053238142531,0.330053238142531,
151507_5000_100_30_10_100,0.18711984356967623,0.18711984356967623,
151507_5000_100_30_10_300,0.23048379372882416,0.23048379372882416,
151507_5000_100_30_10_500,0.22239278717955993,0.22239278717955993,
151507_5000_100_30_30_100,-0.014553222220190813,-0.014553222220190813,
151507_5000_100_30_30_300,0.24333434775401608,0.24333434775401608,
151507_5000_100_30_30_500,0.1858408606283089,0.1858408606283089,
151507_5000_100_30_50_100,0.24047895569060862,0.24047895569060862,
151507_5000_100_30_50_300,0.32025537306028334,0.32025537306028334,
151507_5000_100_30_50_500,0.18348740866169944,0.18348740866169944,
151507_5000_100_50_10_100,0.19622441410069028,0.19622441410069028,
151507_5000_100_50_10_300,0.2110625250714507,0.2110625250714507,
151507_5000_100_50_10_500,0.2064877861419231,0.2064877861419231,
151507_5000_100_50_30_100,-0.016172550209424173,-0.016172550209424173,
151507_5000_100_50_30_300,0.21301294729128292,0.21301294729128292,
151507_5000_100_50_30_500,0.18003581741971358,0.18003581741971358,
